birthday,birthday_guys
1936-12-19,"John Henry"
1948-7-21,"John Henry"
1952-1-24,"John Henry"
1977-11-26,"John Henry"
1858-11-28,"John Henry Albert"
1867-12-23,"John Henry Thomas, John"
1897-7-3,"John Henry, Chester Raymond"
1877-3-10,"John Henry, John Frederick"
1880-7-27,"John Henry, Joseph Bert, Henry Cooke"
1884-2-16,"John Herbert"
1874-7-8,"John Herbert, Jay"
1878-9-22,"John Herby"
1882-7-10,"John Herman"
1894-12-29,"John Herman"
1941-4-13,"John Herman"
1881-11-15,"John Herman Frank"
1885-6-1,"John Herman, James Elmer"
1874-3-11,"John Hillary"
1978-1-30,"John Hollis"
1962-8-7,"John Howard"
1939-3-4,"John Howard"
1894-10-12,"John Howard"
1904-10-13,"John Howard"
1915-7-15,"John Humphrey, John Lawrence, Marshall"
1864-3-4,"John Hutchins"
1926-10-12,"John Irvin"
1907-8-31,"John Irving, Raymond Frederick"
1860-6-18,"John J."
1853-10-26,"John J."
1861-6-27,"John J."
1864-5-24,"John J."
1864-7-24,"John J."
1866-10-27,"John J."
1867-9-26,"John J."
1858-11-1,"John J."
1856-12-30,"John J."
1857-10-25,"John J."
1853-11-8,"John Jacob"
1869-3-9,"John Jacob, Francis Patrick"
1885-12-6,"John James"
1862-4-4,"John James"
1878-8-22,"John James"
1888-10-13,"John James"
1869-5-22,"John James"
1871-3-10,"John James"
1881-4-14,"John James"
1893-12-2,"John James"
1918-12-31,"John James, Albert Wesley"
1879-12-16,"John Jeirus"
1894-5-31,"John Jeremiah"
1917-1-15,"John Joel"
1916-5-27,"John Joseph"
1910-11-27,"John Joseph"
1922-11-6,"John Joseph"
1900-6-5,"John Joseph"
1899-10-15,"John Joseph"
1918-5-5,"John Joseph"
1907-7-10,"John Joseph"
1908-7-14,"John Joseph"
1924-3-10,"John Joseph"
1917-8-6,"John Joseph"
1911-11-3,"John Joseph"
1899-7-11,"John Joseph"
1898-9-29,"John Joseph"
1923-10-29,"John Joseph"
1893-8-8,"John Joseph"
1915-12-18,"John Joseph"
1909-10-3,"John Joseph"
1910-1-7,"John Joseph"
1921-9-21,"John Joseph"
1922-11-10,"John Joseph"
1891-3-20,"John Joseph"
1878-9-30,"John Joseph"
1890-11-22,"John Joseph"
1883-1-27,"John Joseph"
1867-9-19,"John Joseph"
1872-5-16,"John Joseph"
1859-4-12,"John Joseph"
1875-4-3,"John Joseph"
1859-2-7,"John Joseph"
1884-3-4,"John Joseph"
1864-10-20,"John Joseph"
1873-12-14,"John Joseph"
1856-5-8,"John Joseph"
1883-2-25,"John Joseph"
1871-7-9,"John Joseph"
1872-10-6,"John Joseph"
1873-4-7,"John Joseph"
1887-4-26,"John Joseph"
1891-1-14,"John Joseph"
1866-11-10,"John Joseph"
1873-2-5,"John Joseph"
1889-7-8,"John Joseph"
1854-7-9,"John Joseph"
1866-6-2,"John Joseph"
1942-4-6,"John Joseph"
1942-7-11,"John Joseph"
1932-9-30,"John Joseph"
1934-1-23,"John Joseph"
1938-4-22,"John Joseph"
1943-8-1,"John Joseph"
1980-3-4,"John Joseph"
1965-8-6,"John Joseph"
1960-12-8,"John Joseph"
1964-4-22,"John Joseph"
1979-1-16,"John Joseph"
1974-9-24,"John Joseph"
1882-1-9,"John Joseph Albert"
1915-3-29,"John Joseph Perry"
1978-1-20,"John Joseph, Christopher Peter"
1874-7-9,"John Joseph, Daniel Patrick"
1950-5-25,"John Joseph, Glenn Dennis"
1970-11-19,"John Joseph, Jeffrey James"
1909-11-18,"John Joseph, Joseph Marvin"
1872-8-15,"John Joseph, Lewis Smith"
1855-2-14,"John Joseph, Louis J."
1960-4-28,"John Joseph, Thomas Leo"
1866-7-13,"John Joseph, Zachary Taylor"
1979-2-25,"John Joshua"
1933-5-13,"John Junior"
1946-6-15,"John Junior, Kenneth Joseph"
1860-6-12,"John K."
1966-8-21,"John Karl"
1958-5-6,"John Keefe"
1961-1-18,"John Kelly"
1916-8-10,"John Kelly, James Verlin"
1895-6-30,"John Kenneth"
1901-11-15,"John Kenneth, John William Joseph"
1863-7-25,"John Kinley"
1974-8-30,"John Kristian"
1895-6-3,"John Landis"
1902-1-28,"John Laurence, Clifford Rankin"
1890-3-21,"John Lawrence"
1885-12-5,"John Lawrence"
1950-11-24,"John Lawrence, George Lynford"
1893-10-6,"John Lawrence, Louis Baird"
1960-9-15,"John Lawrence, Todd Richard"
1861-8-29,"John Leckie"
1895-1-11,"John Leo"
1895-9-23,"John Leo"
1898-2-4,"John Leo, John Stephenson"
1905-12-30,"John Leon"
1916-7-18,"John Leonard"
1926-12-11,"John Leonard"
1889-11-13,"John Leonard"
1890-10-28,"John Leonard"
1941-12-29,"John Leslie, Bruce Ellsworth"
1925-5-14,"John Lester"
1925-7-26,"John Lewis"
1956-9-15,"John Lewis"
1889-4-27,"John Lewis, William Louis, Henry Harrison"
1911-7-22,"John Lindsay"
1906-3-13,"John Lloyd"
1892-1-22,"John Locke"
1987-1-14,"John Logan"
1944-8-27,"John Louis"
1891-7-23,"John Louis"
1869-11-18,"John Louis"
1891-5-2,"John Louis"
1857-11-18,"John Louis"
1951-9-29,"John Lowell"
1914-5-27,"John Ludwig"
1905-10-3,"John Ludy"
1979-11-15,"John M."
1864-7-16,"John M."
1869-10-26,"John M."
1897-11-5,"John Mahlon"
1873-2-8,"John Marcellus"
1961-2-15,"John Mark"
1906-9-27,"John Marshall"
1890-10-27,"John Marshall"
1961-2-9,"John Martin"
1906-9-15,"John Martin, Charles Orval"
1910-9-3,"John McKittrick"
1903-5-22,"John Melville"
1926-2-17,"John Melvin"
1928-2-24,"John Melvin"
1957-1-25,"John Michael"
1947-9-13,"John Michael"
1911-11-13,"John Michael"
1926-5-19,"John Michael"
1919-2-27,"John Michael"
1864-10-25,"John Michael"
1863-9-2,"John Michael"
1962-6-8,"John Michael"
1960-7-3,"John Michael"
1904-12-27,"John Michael Joseph"
1918-1-6,"John Michael, William Francis"
1896-12-11,"John Miles"
1907-9-13,"John Millard"
1948-10-30,"John Milton"
1860-3-3,"John Montgomery"
1876-7-27,"John Morris"
1895-3-8,"John Needles"
1931-11-25,"John Nicholas"
1962-12-22,"John Nicklaus"
1890-6-15,"John Nicodemus, Harry Ernest"
1942-7-16,"John Nolan"
1978-5-17,"John Norman, Carlos Felipe"
1856-10-31,"John O."
1902-11-20,"John Olgus"
1910-1-24,"John Oscar"
1883-8-21,"John Owen"
1858-3-3,"John P., Harry Eugene"
1868-6-28,"John Pardon"
1880-6-10,"John Patrick"
1877-1-27,"John Patrick"
1885-10-18,"John Patrick"
1965-3-17,"John Patrick"
1984-1-4,"John Patrick"
1939-10-6,"John Patrick"
1865-4-30,"John Patrick Parnell"
1954-8-31,"John Patrick, Claudell"
1900-2-25,"John Patrick, Joseph Francis"
1900-1-7,"John Patrick, William Carlton"
1864-7-26,"John Patrick, William Louis"
1933-11-4,"John Patsy"
1940-12-5,"John Paul"
1954-2-28,"John Paul"
1939-12-26,"John Paul"
1905-6-25,"John Paul"
1912-9-9,"John Paul"
1967-6-29,"John Paul"
1956-5-30,"John Paul, Michael James"
1892-8-25,"John Paul, Norman Doxie"
1877-7-20,"John Peter"
1863-9-27,"John Peter"
1941-1-3,"John Peter"
1928-6-12,"John Peter"
1916-1-23,"John Peter Joseph"
1879-5-20,"John Peter, John Patrick"
1936-5-4,"John Philip"
1979-5-29,"John Philip"
1933-7-23,"John Phillip"
1850-4-8,"John Phillip"
1847-12-28,"John Phillips Jenkins"
1883-7-1,"John Picus"
1969-5-26,"John Preston"
1921-5-18,"John Ralph"
1903-8-29,"John Ralph"
1948-8-4,"John Raymond"
1966-8-8,"John Raymond"
1896-10-15,"John Reaves"
1869-8-25,"John Reed"
1967-9-30,"John Reed, Yorkis Miguel Vargas"
1879-1-11,"John Reid"
1960-12-24,"John Reilly"
1900-9-21,"John Renzie"
1983-9-9,"John Rhyne, Hiram Kyle, Michael A., Edwin, Alexander Rafael"
1975-8-29,"John Richard"
1943-6-25,"John Richard"
1935-1-7,"John Richard"
1956-4-11,"John Robert"
1929-1-27,"John Robert"
1946-2-10,"John Robert"
1947-11-27,"John Robert"
1932-3-23,"John Robert"
1921-4-1,"John Robert"
1913-1-7,"John Robert"
1896-7-7,"John Robert"
1921-12-1,"John Robert"
1876-6-19,"John Robert"
1963-7-14,"John Robert"
1974-5-22,"John Robert"
1963-2-14,"John Robert"
1855-10-2,"John Robert, Cyrus Alban"
1937-3-24,"John Robert, Richard Wallis"
1935-7-27,"John Rogers"
1896-10-16,"John Roy"
1944-8-15,"John Roy, Michael Lynn"
1939-5-6,"John Russell"
1969-5-10,"John Russell, Peter Alan"
1991-5-13,"John Ryan"
1872-5-4,"John S."
1880-5-8,"John S."
1865-2-28,"John S."
1853-1-17,"John Samuel"
1917-1-17,"John Samuel"
1916-9-20,"John Samuel"
1903-4-25,"John Samuel"
1975-12-31,"John Samuel"
1955-5-16,"John Scott"
1924-8-23,"John Sherman"
1920-6-10,"John Sigmund"
1890-6-7,"John Silas"
1929-5-18,"John Stanley"
1890-8-21,"John Star"
1877-6-8,"John Stein"
1936-1-8,"John Stephen"
1987-10-19,"John Stephen"
1893-3-20,"John Stephen"
1919-5-24,"John Stephen"
1920-6-23,"John Stephen Michael"
1925-8-28,"John Steven"
1970-10-17,"John Steven"
1858-4-11,"John Stewart"
1924-1-9,"John Sylvester"
1880-7-26,"John T."
1861-1-5,"John T."
1917-10-17,"John Thaddeus"
1972-2-22,"John Thadeuz"
1904-9-30,"John Thomas"
1926-7-23,"John Thomas"
1908-1-16,"John Thomas"
1909-11-24,"John Thomas"
1913-8-9,"John Thomas"
1942-5-7,"John Thomas"
1943-9-7,"John Thomas"
1956-6-9,"John Thomas"
1936-7-5,"John Thomas"
1862-6-30,"John Thomas"
1869-4-17,"John Thomas"
1866-2-20,"John Thomas"
1878-1-6,"John Thomas"
1867-7-16,"John Thomas"
1878-6-25,"John Thomas"
1912-11-13,"John Thomas Reid, Alexis William"
1954-9-13,"John Thomas, Billy Lavern"
1930-12-11,"John Thomas, Edward Joseph, Andrew William"
1867-6-29,"John Thomas, Edward William, Henry Peter"
1949-2-9,"John Thomas, John Richard"
1974-3-19,"John Thomas, Michael Jason"
1954-2-2,"John Thomas, Robert Alan, Luis Felipe"
1892-5-4,"John Thomas, Theodore Holhot, John Edgar"
1893-4-15,"John Thomas, Vernon Alexander"
1929-3-10,"John Tillman"
1967-10-21,"John Timothy"
1880-7-29,"John Tortes"
1972-8-5,"John Truman"
1847-7-20,"John Van Buskirk"
1906-12-2,"John Vernon"
1918-8-23,"John Vernon, Edward Joseph, Kenneth Edward"
1970-2-4,"John Vincent"
1980-7-3,"John Vincent"
1861-1-29,"John W."
1849-3-14,"John W."
1854-11-4,"John W."
1849-8-23,"John W."
1864-2-18,"John W., Lawrence Grant"
1884-9-10,"John Walker"
1878-1-19,"John Wallace"
1902-5-9,"John Wallace"
1941-8-23,"John Wallace, Orlando"
1901-3-18,"John Walter"
1880-1-31,"John Walter"
1894-10-1,"John Walter, Raymond Carl"
1922-1-17,"John Warren"
1880-7-15,"John Washburn"
1900-4-11,"John Wayne"
1954-1-17,"John Webber"
1891-2-19,"John Weldon"
1847-8-27,"John Wellington"
1857-7-22,"John Wesley"
1882-10-26,"John Wesley"
1879-1-21,"John Wesley"
1905-3-27,"John Wesley"
1893-8-5,"John Wesley"
1980-4-14,"John Wesley"
1941-8-17,"John Wesley"
1932-3-27,"John Wesley"
1939-3-12,"John Wesley"
1885-10-6,"John Wesley, John Budd"
1882-11-18,"John Wesley, William Martin"
1946-8-29,"John White, William Francis"
1895-12-7,"John Wilbur"
1960-4-4,"John Wilbur"
1961-1-3,"John William"
1977-1-30,"John William"
1957-8-9,"John William"
1936-8-17,"John William"
1987-5-11,"John William"
1883-9-22,"John William"
1874-9-17,"John William"
1868-5-28,"John William"
1887-9-3,"John William"
1892-12-2,"John William"
1874-10-3,"John William"
1882-8-21,"John William"
1873-12-13,"John William"
1887-5-24,"John William"
1892-10-3,"John William"
1892-4-18,"John William"
1863-5-25,"John William"
1892-8-17,"John William"
1918-4-26,"John William"
1893-7-14,"John William"
1904-4-1,"John William"
1901-11-13,"John William"
1925-7-18,"John William"
1899-8-12,"John William"
1862-5-3,"John William Linden"
1985-4-15,"John William, Aaron Steven"
1860-1-12,"John William, Henry E."
1952-10-23,"John William, Randall Lee"
1953-3-16,"John William, Richard Gerald"
1925-5-5,"John William, Robert Henry"
1961-1-5,"John William, Roger Howard, Henry"
1968-11-25,"John William, Shingo"
1914-2-5,"John Wilson"
1912-6-30,"John Wilson, Dino Joseph, Manuel"
1883-1-3,"John Winton"
1882-3-12,"John Woolf"
1914-3-14,"John Wyeth"
1910-9-6,"John Young"
1848-6-29,"John Young"
1979-11-19,"John-Ford David, Ryan James"
1859-10-29,"John, Charles Hercules"
1975-10-9,"John, Daniel Avila"
1866-12-10,"John, Frank Harry"
1858-4-1,"John, Fred J."
1869-6-24,"John, Kirtley"
1917-5-1,"John, Thomas Cousineau"
1966-10-8,"Johnathan Keith"
1980-7-7,"Johnathan Richard"
1949-6-15,"Johnnie B."
1903-10-9,"Johnnie Joseph, Walter Francis"
1954-6-19,"Johnnie Lee"
1911-9-10,"Johnnie Monroe"
1986-3-27,Johnny
1962-9-2,"Johnny Alfonso"
1987-7-10,"Johnny Arthur, Jermaine Antwann, Gregory Alexander"
1949-2-27,"Johnny Bilton"
1988-10-29,"Johnny David"
1973-11-5,"Johnny David"
1952-11-13,"Johnny Ike"
1939-8-10,"Johnny Joe, Charles Landis"
1976-9-1,"Johnny Lance"
1946-1-21,"Johnny Lane"
1947-12-7,"Johnny Lee"
1945-5-29,"Johnny Lee, Clyde Wayne"
1904-2-29,"Johnny Leonard Roosevelt"
1938-11-14,"Johnny Ray"
1962-7-4,"Johnny Ray"
1971-7-29,"Johnny Renando"
1986-2-15,"Johnny, Fautino"
1901-11-21,Johnson
1972-12-8,"Jolbert Alexis"
1971-12-22,"Jon Charles"
1973-11-12,"Jon David"
1969-12-10,"Jon Edward, Patrick Howard"
1978-9-27,"Jon Erich"
1964-7-13,"Jon Gregory"
1978-7-29,"Jon Michael"
1941-1-27,"Jon Nicholas"
1984-3-23,"Jon Paul"
1979-9-27,"Jon Steven"
1980-8-13,"Jonah James"
1859-9-28,"Jonah William"
1904-12-16,"Jonas Arthur"
1897-8-18,Jonathan
1966-10-20,Jonathan
1988-1-8,"Jonathan B."
1986-6-13,"Jonathan Charles"
1979-2-7,"Jonathan David, Eliezer Jesus, Humberto Figueroa"
1978-8-4,"Jonathan David, Lucas Gale"
1946-10-1,"Jonathan Edgar"
1979-11-27,"Jonathan Eugene"
1985-3-15,"Jonathan Henry"
1980-11-22,"Jonathan Johnson"
1974-7-16,"Jonathan Kent"
1991-9-18,"Jonathan Lee"
1981-7-7,"Jonathan Lloyd"
1979-3-21,"Jonathan Matt"
1982-11-19,"Jonathan Omar"
1986-1-5,"Jonathan Paul"
1991-5-2,"Jonathan Rafael"
1970-6-2,"Jonathan Reid, Michael Raymond"
1980-11-23,"Jonathan Robert"
1984-6-16,"Jonathan Roy"
1991-10-16,"Jonathan Rufino Jezus"
1971-3-29,"Jonathan Sean"
1896-5-7,"Jonathan Thompson Walton"
1934-1-24,"Jonathan Tift"
1950-1-19,"Jonathan Trumpbour"
1985-3-20,"Jonathan William"
1982-10-30,"Jonathan, Anderson Mejia, Manuel Alex"
1986-10-27,"Jonathon Joseph, Pedro"
1945-1-22,"Jophery Clifford"
1986-12-8,Jordan
1981-9-20,"Jordan Arthur"
1983-12-18,"Jordan Cassidy"
1986-8-7,"Jordan Cooper"
1987-11-16,"Jordan Craig"
1979-4-12,"Jordan Jay"
1986-2-4,"Jordan L."
1986-5-23,"Jordan M."
1975-4-28,"Jordan William"
1986-8-27,"Jordy Joe"
1978-11-10,Jorge
1970-3-13,Jorge
1916-12-7,Jorge
1950-4-28,Jorge
1950-11-26,Jorge
1981-4-5,"Jorge Alberto"
1978-4-28,"Jorge Bolivar"
1992-2-25,"Jorge Carlos"
1979-3-3,"Jorge Dandys, John Clark"
1966-10-12,"Jorge Enrique"
1978-8-10,"Jorge Hidalgo"
1945-4-23,"Jorge Jesus"
1988-2-16,"Jorge Leonardo"
1993-7-5,"Jorge Luis"
1987-8-15,"Jorge Luis"
1978-7-16,"Jorge Luis"
1975-1-7,"Jorge Luis"
1982-1-30,"Jorge Luis"
1975-1-12,"Jorge Luis"
1966-6-22,"Jorge Manuel"
1979-4-17,"Jorge Moises"
1979-8-11,"Jorge Rafael"
1961-6-3,Jose
1960-12-20,Jose
1971-3-3,Jose
1979-10-2,Jose
1983-1-22,Jose
1992-9-17,Jose
1942-7-26,Jose
1942-12-3,Jose
1940-4-3,Jose
1947-8-8,Jose
1894-2-23,Jose
1940-7-3,"Jose Alberto, Cesar Leonardo"
1975-10-18,"Jose Alexander"
1990-8-7,"Jose Alfredo, Carter Lewis"
1990-1-21,"Jose Altagracia, Joseph Andrew"
1974-8-27,"Jose Angel"
1968-11-8,"Jose Antonio"
1979-3-14,"Jose Antonio"
1965-5-13,"Jose Antonio"
1969-7-14,"Jose Antonio"
1923-5-20,"Jose Antonio"
1953-12-31,"Jose Antonio"
1935-5-5,"Jose Antonio"
1990-1-5,"Jose Antonio, Christopher John"
1988-10-12,"Jose Antonio, Nicholas James"
1980-10-19,"Jose Antonio, Rajai Lavae"
1975-6-3,"Jose Benjamin"
1983-6-11,"Jose Bernabe"
1990-5-6,"Jose Carlos"
1965-10-17,"Jose Carlos"
1973-6-28,"Jose Carlos, Cordel Leonard"
1983-11-24,"Jose Celestino"
1942-4-8,"Jose Concepcion"
1992-7-31,"Jose D."
1977-6-13,"Jose Daniel"
1987-1-29,"Jose Dariel, Alexander Thomas"
1957-11-1,"Jose de los Santos Mauricio"
1954-5-14,"Jose Dennis"
1969-6-29,"Jose Edgardo, Pablo Made, George"
1985-5-2,"Jose Eleazar, Jarrod Scott"
1980-10-20,"Jose Enger"
1950-6-19,"Jose Fernando, Rudolph, James Michael, Duane Eugene"
1971-5-31,"Jose Francisco"
1981-1-13,"Jose Francisco, Darrell Wayne"
1983-9-1,"Jose G."
1976-12-8,"Jose Geraldo, Reed Cameron, Rontrez DeMon"
1989-1-24,"Jose Guillermo"
1928-9-4,"Jose Guillermo"
1974-12-18,"Jose Ilich, Lance David"
1975-9-19,"Jose Javier"
1964-7-25,"Jose Joaquin"
1939-8-18,"Jose Joaquin"
1973-12-19,"Jose Leonel"
1956-4-12,"Jose Lino"
1934-5-22,"Jose Lopez"
1947-6-25,"Jose Luis"
1974-4-19,"Jose Luis"
1965-1-6,"Jose Luis"
1965-9-2,"Jose Luis"
1909-3-23,"Jose Luis"
1989-4-11,"Jose Luis"
1985-1-7,"Jose Luis"
1968-3-26,"Jose Luis, Gerald Paul, Richard Shane"
1973-8-20,"Jose Luis, Todd Lynn"
1976-5-17,"Jose Manuel"
1963-7-4,"Jose Manuel"
1965-3-16,"Jose Manuel"
1984-10-29,"Jose Manuel"
1989-11-21,"Jose Manuel"
1952-5-23,"Jose Manuel, Clarence Edward"
1984-10-21,"Jose Manuel, Daniel Ray"
1965-5-14,"Jose Manuel, Isidro"
1944-12-30,"Jose Manuel, Robert James"
1987-1-28,"Jose Marti"
1932-1-18,"Jose Miguel"
1975-6-16,"Jose Miguel"
1971-4-1,"Jose Miguel"
1938-11-27,"Jose Milages, James Vernon"
1977-12-18,"Jose Omar"
1972-1-25,"Jose Prado"
1963-5-21,"Jose Rafael"
1964-11-23,"Jose Rafael"
1974-11-5,"Jose Rafael"
1978-3-24,"Jose Rafael"
1943-8-22,"Jose Raimundo"
1933-5-26,"Jose Ramon"
1972-8-30,"Jose Ramon"
1966-5-22,"Jose Ramon Nova"
1989-5-6,"Jose Ricardo"
1981-3-19,"Jose Rondon"
1943-10-7,"Jose Rosario Domec"
1952-12-28,"Jose Ynocencio, Charles Ray"
1985-10-17,"Jose, Carlos Eduardo"
1891-3-4,"Jose, Charles Arthur"
1964-5-1,"Jose, Daniel Michael"
1964-7-2,"Jose, Osvaldo, Joseph David"
1962-3-7,"Joselito, German Jose"
1980-4-13,"Joselo Soriano"
1978-4-26,Joseph
1973-9-14,Joseph
1981-10-4,Joseph
1870-7-31,Joseph
1884-8-16,Joseph
1842-10-14,Joseph
1880-3-3,Joseph
1885-4-6,Joseph
1891-5-20,Joseph
1866-12-20,Joseph
1869-11-8,Joseph
1857-3-14,Joseph
1866-5-2,Joseph
1857-4-27,Joseph
1865-3-4,Joseph
1867-2-28,Joseph
1864-10-9,Joseph
1873-2-24,Joseph
1930-10-19,Joseph
1955-6-17,Joseph
1959-7-27,Joseph
1948-3-8,Joseph
1924-2-8,Joseph
1925-2-2,Joseph
1902-11-19,Joseph
1990-8-13,Joseph
1858-2-27,"Joseph A."
1858-1-6,"Joseph A."
1983-2-26,"Joseph A., Francisco, Jose Ariel"
1861-2-17,"Joseph A., George Edward"
1861-10-25,"Joseph Abraham"
1887-6-12,"Joseph Abram"
1866-9-7,"Joseph Akin"
1984-11-20,"Joseph Albert"
1917-5-19,"Joseph Albert Armand"
1911-5-10,"Joseph Albert Rolland Edouard"
1905-9-16,"Joseph Albert, John Raymond"
1893-9-24,"Joseph Alexander"
1954-4-30,"Joseph Allan"
1922-11-26,"Joseph Allen"
1971-10-8,"Joseph Allen"
1891-9-12,"Joseph Aloysius"
1867-12-7,"Joseph Aloysius"
1875-12-4,"Joseph Aloysius"
1884-9-2,"Joseph Aloysius"
1886-12-11,"Joseph Aloysius"
1908-4-6,"Joseph Aloysius, Ernesto Natali, Richard Renald"
1920-11-11,"Joseph Ambrose"
1966-12-19,"Joseph Andrew"
1904-1-16,"Joseph Anselm"
1901-1-8,"Joseph Anthony"
1906-11-20,"Joseph Anthony"
1897-5-12,"Joseph Anthony"
1906-6-25,"Joseph Anthony"
1921-3-13,"Joseph Anthony"
1912-7-15,"Joseph Anthony"
1951-8-4,"Joseph Anthony"
1940-10-9,"Joseph Anthony"
1879-3-2,"Joseph Anthony"
1965-8-12,"Joseph Anthony, Barry Paul"
1964-2-12,"Joseph Anthony, Cameron Steward"
1946-8-15,"Joseph Anthony, Ernest Lee"
1943-2-21,"Joseph Anthony, John Eugene"
1913-9-1,"Joseph Anton"
1937-8-6,"Joseph Arthur, Wayne Allen, Camilo"
1886-12-20,"Joseph August"
1857-6-10,"Joseph B."
1929-8-4,"Joseph Benjamin"
1899-8-1,"Joseph Benjamin"
1962-9-9,"Joseph Benjamin"
1881-4-2,"Joseph Bernard"
1889-4-24,"Joseph Bernard"
1973-9-4,"Joseph Bernard, Richard Aaron, Brian Lee"
1942-2-4,"Joseph Blase"
1863-3-23,"Joseph Brook"
1980-8-8,"Joseph Buren, Craig Andrew"
1928-12-13,"Joseph Butler"
1869-12-21,"Joseph C."
1985-11-4,"Joseph Cain"
1882-3-24,"Joseph Carl"
1979-5-1,"Joseph Carl, Brandon Allen Falker"
1892-5-24,"Joseph Carl, Oscar Theander"
1941-7-3,"Joseph Casey"
1937-6-8,"Joseph Charles"
1952-6-28,"Joseph Charles"
1935-4-10,"Joseph Charles"
1872-7-12,"Joseph Charles"
1914-11-29,"Joseph Charles"
1905-10-25,"Joseph Charles"
1893-7-24,"Joseph Charles"
1962-2-3,"Joseph Charles"
1900-11-11,"Joseph Chester"
1960-3-7,"Joseph Chris"
1918-12-3,"Joseph Christopher"
1935-5-9,"Joseph Clark"
1931-2-14,"Joseph Clifford"
1936-12-13,"Joseph Clifton"
1902-8-3,"Joseph Conrad, Douglas John"
1861-8-19,"Joseph D."
1961-1-15,"Joseph Dale"
1977-3-20,"Joseph Daniel"
1870-1-6,"Joseph Daniel"
1890-10-12,"Joseph Daniel, Frank Talmadge"
1983-9-10,"Joseph Daniel, Lance Michael"
1890-4-9,"Joseph Dank, Walter Charles"
1979-5-24,"Joseph Darley"
1977-9-18,"Joseph Diego"
1953-4-21,"Joseph Donald"
1972-5-28,"Joseph Donald, Tilson Manuel"
1964-4-13,"Joseph Douglas"
1964-9-26,"Joseph Douglas, David"
1977-2-13,"Joseph Dudley"
1865-7-15,"Joseph E."
1859-4-4,"Joseph E."
1897-3-27,"Joseph Earl, Effa"
1972-10-19,"Joseph Earl, Marc Alexander, Keith Charles"
1906-2-26,"Joseph Ebenezer"
1953-6-27,"Joseph Edmund"
1928-10-7,"Joseph Edward"
1906-10-12,"Joseph Edward"
1897-1-15,"Joseph Edward"
1908-6-25,"Joseph Edward"
1922-12-3,"Joseph Edward"
1898-7-11,"Joseph Edward"
1885-3-11,"Joseph Edward"
1862-2-15,"Joseph Edward"
1987-2-1,"Joseph Edward, Austin Jarriel"
1920-7-26,"Joseph Edward, Sebastian Daniel"
1978-11-25,"Joseph Edward, Zachary Daniel"
1964-10-14,"Joseph Elliott"
1930-1-13,"Joseph Emanuel"
1975-12-10,"Joseph Emerson"
1910-6-17,"Joseph Emil"
1854-5-9,"Joseph Emley"
1914-3-7,"Joseph Emmett"
1916-1-8,"Joseph Erwin"
1887-8-15,"Joseph Felix"
1922-10-6,"Joseph Filmore"
1912-3-9,"Joseph Floyd"
1917-10-28,"Joseph Francis"
1981-6-16,"Joseph Francis"
1891-9-10,"Joseph Francis"
1873-7-24,"Joseph Francis"
1874-12-8,"Joseph Francis"
1876-12-12,"Joseph Francis"
1888-9-8,"Joseph Francis"
1875-8-28,"Joseph Francis"
1889-3-26,"Joseph Francis, Carter Bradley"
1900-6-22,"Joseph Frank"
1986-3-12,"Joseph Frank"
1910-6-10,"Joseph Franklin"
1944-11-7,"Joseph Franklin"
1910-4-4,"Joseph Franklin, Joseph"
1933-5-5,"Joseph Fred"
1905-4-7,"Joseph Frederick"
1896-11-29,"Joseph Gaddy"
1944-3-12,"Joseph Geoffrey"
1974-10-25,"Joseph George"
1930-10-12,"Joseph Gerard"
1922-12-10,"Joseph Gordon"
1917-1-20,"Joseph Gordon"
1954-5-31,"Joseph Gregory"
1969-12-18,"Joseph Gregory"
1858-10-27,"Joseph H."
1859-9-24,"Joseph H."
1876-2-19,"Joseph Hanley"
1894-1-27,"Joseph Harold"
1950-7-23,"Joseph Harold"
1889-7-14,"Joseph Harrison"
1892-11-20,"Joseph Henry"
1881-1-6,"Joseph Henry"
1956-2-22,"Joseph Henry"
1900-7-3,"Joseph Henry"
1926-2-12,"Joseph Henry"
1922-9-1,"Joseph Henry, Victor Dee"
1897-9-17,"Joseph Henry, William Earl"
1916-11-7,"Joseph Hilarian"
1893-11-14,"Joseph Howard"
1872-9-10,"Joseph Howard"
1947-2-3,"Joseph Howard"
1894-12-31,"Joseph Howard, James Francis"
1866-5-7,"Joseph Hunt"
1890-10-29,"Joseph Ignatius"
1894-5-25,"Joseph Ignatius"
1913-7-31,"Joseph Ignatius, Leslie Fletchard"
1890-8-10,"Joseph Isadore"
1854-4-3,"Joseph J."
1858-1-19,"Joseph J."
1871-12-9,"Joseph James"
1913-1-28,"Joseph James"
1916-6-17,"Joseph James"
1900-4-23,"Joseph James, James Leroy"
1977-2-22,"Joseph Jason"
1887-7-16,"Joseph Jefferson"
1910-5-10,"Joseph Jeremiah"
1953-7-13,"Joseph Jerome"
1871-3-20,"Joseph Jerome, Paul A."
1868-9-21,"Joseph John"
1891-7-28,"Joseph John"
1931-10-4,"Joseph John"
1954-2-8,"Joseph John"
1899-1-12,"Joseph John"
1919-10-2,"Joseph John"
1902-8-2,"Joseph John"
1923-9-18,"Joseph John"
1912-1-4,"Joseph John"
1965-12-9,"Joseph John"
1979-12-24,"Joseph John"
1970-2-1,"Joseph John, Edwin Amilgar"
1922-2-18,"Joseph John, Joe Hicks"
1858-11-20,"Joseph John, Laurence P."
1893-1-10,"Joseph John, Martin John"
